artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
1.0,,"CDLI Lexical 000002, ex. 065",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 01533,,,,,,,0.0,0.0,0.0,0.0,31.0,18.0,61.0,,,"W 06435,a","M XVIII,?",auf Hügeloberfläche in der Nähe des Südbaues,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428991;1444278,history;history,"pl. 11, W 6435,a;",,DCCLT; ARMEP,P000001; P000001,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2.0,,"CDLI Lexical 000002, ex. 066",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 15263,,,,,,,0.0,0.0,0.0,0.0,30.0,13.0,48.0,,,"W 06435,b","M XVIII,?",auf der Hügeloberfläche in der Nähe des Südbaues,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428992;1444279,history;history,"pl. 11, W 6435,b;",,DCCLT; ARMEP,P000002; P000002,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
3.0,,"ATU 3, pl. 081, W 9123,d",tablet,Uruk IV (ca. 3350-3200 BC),Uruk (mod. Warka),,,,,,,VAT 15253,,,,,,,0.0,0.0,0.0,0.0,42.0,19.0,53.0,,,"W 09123,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993;1375573,primary;history,"pl. 81, W 9123,d;","42x53x19, Vocabulary 9, Qa XVI,2, unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels (t.a.q. IIIc), veröffentlicht in: ATU 1, 539, bereits kommentiert von A. Falkenstein, UVB 3, 12 und ATU 1, S. 43-45.",DCCLT; ARMEP,P000003; P000003,Archaic Vocabulary (witness) Text category: 15-09; Foreign ID: LVO 9,0.0,0.0,,,0.0,0.0,0.0,0.0,,
4.0,,"CDLI Lexical 000002, ex. 051",tablet,Uruk IV (ca. 3350-3200 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 15168,,,,,,,0.0,0.0,0.0,0.0,26.0,23.0,23.0,,,"W 09169,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428993;1444280,history;history,"pl. 9, W 9169,d;",,DCCLT; ARMEP,P000004; P000004,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
5.0,,"CDLI Lexical 000002, ex. 172",tablet,Uruk IV (ca. 3350-3200 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 15153,,,,,,,0.0,0.0,0.0,0.0,29.0,20.0,36.0,,,"W 09206,k","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428994;1444281,history;history,"pl. 23, W 9206,k;",,DCCLT; ARMEP,P000005; P000005,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
6.0,,"CDLI Lexical 000002, ex. 173",tablet,Uruk IV (ca. 3350-3200 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 15003,,,,,,,0.0,0.0,0.0,0.0,82.0,19.0,62.0,,,"W 09656,h1","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,Nissen1991FrüheSchrift ; Englund1993ATU3; Falkenstein1936ATU1; sec12; Woods2010writing,history; history; history; history; history,"p. 153, no. 16.1; pl. 23, W 9656,h1; 340; ; 074",; ; ; ; ,DCCLT; ARMEP,P000006; P000006,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
7.0,,"CDLI Lexical 000002, ex. 174",tablet,Uruk IV (ca. 3350-3200 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 15111,,,,,,,0.0,0.0,0.0,0.0,56.0,29.0,36.0,,,"W 09656,x","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428996;1444282,history;history,"pl. 23, W 9656,x;",,DCCLT; ARMEP,P000007; P000007,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
8.0,,"CDLI Lexical Archaic Unidentified, ex. 003",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17684,,,,,,,0.0,0.0,0.0,0.0,39.0,9.0,26.0,,,"W 11985,e","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375574,history,"pl. 85, W 11985,e",,DCCLT; ARMEP,P000008; P000008,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
9.0,,"CDLI Lexical 000002, ex. 160",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 17702,,,,,,,0.0,0.0,0.0,0.0,54.0,0.0,46.0,,,"W 11985,f","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375575,history,"pl. 22, W 11985,f",,DCCLT; ARMEP,P000009; P000009,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
10.0,,"CDLI Lexical 000007, ex. 006",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000007,,VAT 17709,,,,,,,0.0,0.0,0.0,0.0,23.0,19.0,25.0,,,"W 11985,g","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375576,history,"pl. 26, W 11985,g",,DCCLT; ARMEP,P000010; P000010,Archaic Officials (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
